Selección;TJ;Pts.;PJ;PG;PE;PP;GF;GC;Dif.;Títulos;Rend.
 Brasil;21;237;109;73;18;18;229;105;124;5;72,47%
 Alemania;19;221;109;67;20;22;226;125;101;4;67,58%
 Italia;18;156;83;45;21;17;128;77;51;4;62,65%
 Argentina;17;144;81;43;15;23;137;93;44;2;59,25%
 Francia;15;115;66;34;13;19;120;77;43;2;58,08%
 Inglaterra;15;108;68;29;21;18;90;62;28;1;52,94%
 España;15;105;63;30;15;18;99;72;27;1;55,55%
 Países Bajos;10;93;50;27;12;11;86;48;38;0;62%
 Uruguay;13;84;56;24;12;20;87;74;13;2;50%
 Suecia;12;70;51;19;13;19;80;73;7;0;45,75%
 Bélgica;13;69;48;20;9;19;68;72;-4;0;47,91%
 Rusia;11;67;45;19;10;16;77;54;23;0;49,62%
 Serbia;12;62;46;18;8;20;66;63;3;0;44,92%
 México;16;62;57;16;14;27;60;98;-38;0;36,25%
 Polonia;8;53;34;16;5;13;46;45;1;0;51,96%
 Portugal;7;48;30;14;6;10;49;35;14;0;53,33%
 Hungría;9;48;32;15;3;14;87;57;30;0;50%
 Suiza;11;44;37;12;8;17;50;64;-14;0;39,63%
 República Checa;9;41;33;12;5;16;47;49;-2;0;41%
 Austria;7;40;29;12;4;13;43;47;-4;0;46%
 Chile;9;40;33;11;7;15;40;49;-9;0;40%
 Croacia;5;37;23;11;4;8;35;26;9;0;53,62%
 Dinamarca;5;32;20;9;5;6;30;26;4;0;53,33%
 Paraguay;8;31;27;7;10;10;30;38;-8;0;36,20%
